"termino_espanol","termino_ingles","emotion","valence","arousal","dominance","nivel_arousal"
"aborto","abortion","fear",-0.836,0.54,-0.434,"alto"
"aborto","abortion","sadness",-0.836,0.54,-0.434,"alto"
"aborto espontáneo","miscarriage","fear",-0.916,0.562,-0.376,"alto"
"aborto espontáneo","miscarriage","sadness",-0.916,0.562,-0.376,"alto"
"abrasador","scorching","anger",-0.403,0.635,-0.072,"alto"
"abrazar","embrace","anticipation",0.898,-0.02,-0.096,"medio"
"abrazar","embrace","joy",0.898,-0.02,-0.096,"medio"
"abrazar","embrace","surprise",0.898,-0.02,-0.096,"medio"
"abrazar","embrace","trust",0.898,-0.02,-0.096,"medio"
"abrazo","cuddle","joy",0.77,0.118,-0.05,"medio"
"abrazo","hug","joy",0.816,-0.146,0.096,"medio"
"abrazo","hug","trust",0.816,-0.146,0.096,"medio"
"abrazo","cuddle","trust",0.77,0.118,-0.05,"medio"
"abrumada","overwhelmed","sadness",-0.318,0.36,-0.304,"alto"
"abrumador","overpowering","anger",-0.216,0.558,0.178,"alto"
"abrumador","overpowering","fear",-0.216,0.558,0.178,"alto"
"abrupto","abrupt","surprise",-0.458,0.638,0.09,"alto"
"absceso","abscess","sadness",-0.692,-0.098,-0.302,"medio"
"absolución","absolution","joy",0.43,0,0.328,"medio"
"absolución","absolution","trust",0.43,0,0.328,"medio"
"abstenerse","desist","anger",-0.593,-0.284,-0.418,"medio"
"abstenerse","desist","disgust",-0.593,-0.284,-0.418,"medio"
"absurdo","farcical","disgust",-0.188,-0.038,-0.482,"medio"
"absurdo","nonsensical","sadness",-0.654,-0.464,-0.614,"bajo"
"abuelo","grandfather","trust",0.654,-0.442,0.172,"bajo"
"abundancia","abundance","anticipation",0.624,0.38,0.704,"alto"
"abundancia","abundance","disgust",0.624,0.38,0.704,"alto"
"abundancia","abundance","joy",0.624,0.38,0.704,"alto"
"abundancia","abundance","trust",0.624,0.38,0.704,"alto"
"abundancia de nubes","cloudiness","fear",-0.062,-0.5,-0.314,"bajo"
"abundante","bountiful","anticipation",0.708,0.192,0.518,"medio"
"abundante","abundant","joy",0.916,0.18,0.52,"medio"
"abundante","bountiful","joy",0.708,0.192,0.518,"medio"
"aburrimiento","boredom","sadness",-0.666,-0.722,-0.49,"bajo"
"abuso","abuse","anger",-0.858,0.746,-0.062,"alto"
"abuso","abuse","disgust",-0.858,0.746,-0.062,"alto"
"abuso","abuse","fear",-0.858,0.746,-0.062,"alto"
"abuso","abuse","sadness",-0.858,0.746,-0.062,"alto"
"abyecto","abject","disgust",-0.292,0.18,-0.166,"medio"
"académico","academic","trust",0.562,-0.16,0.624,"medio"
"acantilado","cliff","fear",-0.278,0.24,0.018,"medio"
"accidental","accidental","fear",-0.362,0.568,-0.386,"alto"
"accidental","accidental","surprise",-0.362,0.568,-0.386,"alto"
"accidentalmente","accidentally","surprise",-0.334,0.482,-0.334,"alto"
"accidente","accident","fear",-0.75,0.816,-0.328,"alto"
"accidente","accident","sadness",-0.75,0.816,-0.328,"alto"
"accidente","accident","surprise",-0.75,0.816,-0.328,"alto"
"acción de gracias","thanksgiving","joy",0.854,-0.102,0.274,"medio"
"acechar","stalk","fear",-0.128,-0.456,-0.21,"bajo"
"acelerador","throttle","anger",0.124,0.608,0.5,"alto"
"acelerar","accelerate","anticipation",0.23,0.804,0.518,"alto"
"acelerar","quicken","anticipation",0.372,0.5,0.598,"alto"
"acera","pavement","trust",-0.08,-0.294,-0.05,"medio"
"aclarar","brighten","joy",0.52,0.094,0.298,"medio"
"aclarar","brighten","surprise",0.52,0.094,0.298,"medio"
"aclarar","brighten","trust",0.52,0.094,0.298,"medio"
"acompañamiento","accompaniment","anticipation",0.48,-0.042,0.39,"medio"
"acompañamiento","accompaniment","joy",0.48,-0.042,0.39,"medio"
"acompañamiento","accompaniment","trust",0.48,-0.042,0.39,"medio"
"aconsejable","advisable","trust",0.734,-0.04,0.02,"medio"
"aconsejado","advised","trust",0.635,-0.504,0.238,"bajo"
"acordado","agreed","trust",0.594,-0.102,0.148,"medio"
"acosando","harassing","anger",-0.76,0.746,-0.108,"alto"
"acosar","harass","anger",-0.68,0.55,0.24,"alto"
"acosar","harass","disgust",-0.68,0.55,0.24,"alto"
"acoso","molestation","anger",-0.796,0.616,-0.186,"alto"
"acoso","molestation","disgust",-0.796,0.616,-0.186,"alto"
"acoso","molestation","fear",-0.796,0.616,-0.186,"alto"
"acoso","molestation","sadness",-0.796,0.616,-0.186,"alto"
"acre","pungent","disgust",-0.306,0.51,0.07,"alto"
"acreditado","reputable","trust",0.562,-0.076,0.838,"medio"
"acreedor hipotecario","mortgagee","trust",-0.164,0.266,0.446,"medio"
"acróbata","acrobat","fear",0.416,0.656,0.204,"alto"
"acróbata","acrobat","joy",0.416,0.656,0.204,"alto"
"acróbata","acrobat","trust",0.416,0.656,0.204,"alto"
"acuerdo","deal","anticipation",0.438,0.198,0.086,"medio"
"acuerdo","deal","joy",0.438,0.198,0.086,"medio"
"acuerdo","deal","surprise",0.438,0.198,0.086,"medio"
"acuerdo","deal","trust",0.438,0.198,0.086,"medio"
"acuerdo","accord","trust",0.796,-0.472,-0.236,"bajo"
"acusación","accusation","anger",-0.854,0.436,0.128,"alto"
"acusación","arraignment","anger",-0.188,0.674,0.068,"alto"
"acusación","accusation","disgust",-0.854,0.436,0.128,"alto"
"acusación","indictment","fear",-0.51,0.49,0.154,"alto"
"acusación","arraignment","fear",-0.188,0.674,0.068,"alto"
"acusación","arraignment","sadness",-0.188,0.674,0.068,"alto"
"acusado","accused","anger",-0.74,0.34,-0.16,"alto"
"acusado","defendant","anger",-0.5,0.42,-0.018,"alto"
"acusado","defendant","fear",-0.5,0.42,-0.018,"alto"
"acusado","accused","fear",-0.74,0.34,-0.16,"alto"
"acusado","defendant","sadness",-0.5,0.42,-0.018,"alto"
"acusador","accuser","anger",-0.756,0.558,0.23,"alto"
"acusador","accuser","fear",-0.756,0.558,0.23,"alto"
"acusando","accusing","anger",-0.688,0.49,-0.352,"alto"
"acusando","accusing","fear",-0.688,0.49,-0.352,"alto"
"adecuado","fitting","anticipation",0.224,-0.118,0.276,"medio"
"adecuado","fitting","joy",0.224,-0.118,0.276,"medio"
"adecuado","fitting","trust",0.224,-0.118,0.276,"medio"
"adherido","adhering","trust",0.224,0.122,0.074,"medio"
"adherirse","cleave","fear",-0.408,0.09,-0.222,"medio"
"adiós","bye","anticipation",-0.25,-0.204,-0.358,"medio"
"Adivinación","divination","anticipation",0,0.3,0.09,"medio"
"adivinar","guess","surprise",0.28,-0.074,-0.116,"medio"
"administración","management","trust",0.584,-0.018,0.612,"medio"
"administrar","manage","trust",0.12,0.06,0.438,"medio"
"administrativo","administrative","trust",0.084,-0.17,0.158,"medio"
"admirable","admirable","joy",0.858,0.2,0.74,"medio"
"admirable","admirable","trust",0.858,0.2,0.74,"medio"
"admiración","admiration","joy",0.938,0.166,0.452,"medio"
"admiración","admiration","trust",0.938,0.166,0.452,"medio"
"admirar","admire","trust",0.734,0.384,0.408,"alto"
"admisible","admissible","trust",0.56,0.056,0.284,"medio"
"adoctrinamiento","indoctrination","anger",-0.346,0.314,0.396,"medio"
"adoctrinamiento","indoctrination","fear",-0.346,0.314,0.396,"medio"
"adorable","adorable","joy",0.938,0.038,-0.086,"medio"
"adoración","adoration","joy",0.77,0.398,0.416,"alto"
"adoración","adoration","trust",0.77,0.398,0.416,"alto"
"Adoración","worship","anticipation",0.376,-0.24,0.146,"medio"
"Adoración","worship","fear",0.376,-0.24,0.146,"medio"
"Adoración","worship","joy",0.376,-0.24,0.146,"medio"
"Adoración","worship","trust",0.376,-0.24,0.146,"medio"
"adorar","adore","anticipation",0.708,-0.124,0.314,"medio"
"adorar","adore","joy",0.708,-0.124,0.314,"medio"
"adorar","adore","trust",0.708,-0.124,0.314,"medio"
"adquisidor","acquiring","anticipation",0.47,0.02,0.634,"medio"
"adulterio","adultery","disgust",-0.76,0.844,0.02,"alto"
"adulterio","adultery","sadness",-0.76,0.844,0.02,"alto"
"adversario","opponent","anger",-0.84,0.482,0.432,"alto"
"adversario","adversary","anger",-0.302,0.554,-0.086,"alto"
"adversario","opponent","anticipation",-0.84,0.482,0.432,"alto"
"adversario","opponent","disgust",-0.84,0.482,0.432,"alto"
"adversario","opponent","fear",-0.84,0.482,0.432,"alto"
"adversidad","adversity","anger",-0.448,0.444,0.076,"alto"
"adversidad","adversity","fear",-0.448,0.444,0.076,"alto"
"adversidad","adversity","sadness",-0.448,0.444,0.076,"alto"
"adverso","adverse","anger",-0.354,0.22,-0.23,"medio"
"adverso","untoward","anger",-0.756,0.11,-0.418,"medio"
"adverso","untoward","disgust",-0.756,0.11,-0.418,"medio"
"adverso","adverse","disgust",-0.354,0.22,-0.23,"medio"
"adverso","adverse","fear",-0.354,0.22,-0.23,"medio"
"adverso","adverse","sadness",-0.354,0.22,-0.23,"medio"
"advertencia","warning","fear",-0.542,0.548,0.258,"alto"
"advertido","forewarned","anticipation",-0.04,0.236,0.212,"medio"
"advertido","forewarned","fear",-0.04,0.236,0.212,"medio"
"advertido","cautionary","fear",0.02,0.082,0.038,"medio"
"advertir","warn","anticipation",-0.142,0.294,0.128,"medio"
"advertir","warn","fear",-0.142,0.294,0.128,"medio"
"advertir","warn","surprise",-0.142,0.294,0.128,"medio"
"advertir","warn","trust",-0.142,0.294,0.128,"medio"
"adviento","advent","anticipation",0.33,0.12,0.254,"medio"
"adviento","advent","joy",0.33,0.12,0.254,"medio"
"adviento","advent","trust",0.33,0.12,0.254,"medio"
"aeropuerto","airport","anticipation",0.458,0.368,0.364,"alto"
"afán","eagerness","anticipation",-0.188,0.242,-0.114,"medio"
"afán","eagerness","joy",-0.188,0.242,-0.114,"medio"
"afán","eagerness","trust",-0.188,0.242,-0.114,"medio"
"áfido","aphid","disgust",-0.224,-0.054,-0.186,"medio"
"afilar","sharpen","anger",0.164,0.388,0.222,"alto"
"afilar","sharpen","anticipation",0.164,0.388,0.222,"alto"
"afirmando","asserting","trust",0.388,0.062,0.472,"medio"
"afirmar","affirm","trust",0.49,0.018,0.462,"medio"
"afirmativamente","affirmatively","trust",0.816,0,0.622,"medio"
"aflicción","affliction","disgust",-0.412,0.27,-0.216,"medio"
"aflicción","woe","disgust",-0.32,0.212,-0.592,"medio"
"aflicción","affliction","fear",-0.412,0.27,-0.216,"medio"
"aflicción","woe","fear",-0.32,0.212,-0.592,"medio"
"aflicción","woe","sadness",-0.32,0.212,-0.592,"medio"
"aflicción","affliction","sadness",-0.412,0.27,-0.216,"medio"
"afligido","distressed","fear",-0.714,0.542,-0.352,"alto"
"afligido","stricken","sadness",-0.674,0.44,-0.264,"alto"
"afligido","bereaved","sadness",-0.792,-0.042,-0.558,"medio"
"afligir","afflict","fear",-0.396,0.11,-0.414,"medio"
"afligir","afflict","sadness",-0.396,0.11,-0.414,"medio"
"afligir","ail","sadness",-0.25,-0.132,-0.23,"medio"
"afligirse","grieve","fear",-0.756,0,-0.334,"medio"
"afligirse","grieve","sadness",-0.756,0,-0.334,"medio"
"afluencia","affluence","joy",0.326,0.236,0.444,"medio"
"afluente","tributary","anticipation",0.23,-0.074,0.232,"medio"
"aforo","gauging","trust",-0.04,-0.074,0.112,"medio"
"afortunado","lucky","joy",0.92,0.22,0.586,"medio"
"afortunado","lucky","surprise",0.92,0.22,0.586,"medio"
"afrenta","affront","anger",-0.346,0.48,0.094,"alto"
"afrenta","affront","disgust",-0.346,0.48,0.094,"alto"
"afrenta","affront","fear",-0.346,0.48,0.094,"alto"
"afrenta","affront","sadness",-0.346,0.48,0.094,"alto"
"afrenta","affront","surprise",-0.346,0.48,0.094,"alto"
"aga","aga","fear",0.084,-0.346,-0.204,"bajo"
"aga","aga","trust",0.084,-0.346,-0.204,"bajo"
"agacharse","crouch","fear",-0.438,0.212,-0.376,"medio"
"agazapado","crouching","fear",-0.478,-0.142,-0.31,"medio"
"agitación","agitation","anger",-0.52,0.862,-0.106,"alto"
"agitación","unrest","fear",-0.595,0.154,-0.538,"medio"
"agitación","unrest","sadness",-0.595,0.154,-0.538,"medio"
"agitado","agitated","anger",-0.112,0.764,-0.018,"alto"
"agonía","agony","anger",-0.834,0.55,-0.214,"alto"
"agonía","agony","fear",-0.834,0.55,-0.214,"alto"
"agonía","agony","sadness",-0.834,0.55,-0.214,"alto"
"agonizante","agonizing","fear",-0.834,0.6,-0.32,"alto"
"agotador","punishing","anger",-0.812,0.796,-0.058,"alto"
"agotador","punishing","fear",-0.812,0.796,-0.058,"alto"
"agotador","punishing","sadness",-0.812,0.796,-0.058,"alto"
"agotamiento","exhaustion","anticipation",-0.268,0.266,-0.462,"medio"
"agotamiento","exhaustion","sadness",-0.268,0.266,-0.462,"medio"
"agradable","pleasant","anticipation",0.878,-0.38,0.346,"bajo"
"agradable","pleasant","joy",0.878,-0.38,0.346,"bajo"
"agradable","pleasurable","joy",0.896,0.058,0.338,"medio"
"agradable","pleasant","surprise",0.878,-0.38,0.346,"bajo"
"agradable","pleasant","trust",0.878,-0.38,0.346,"bajo"
"agradable","agreeable","trust",0.812,0,0.392,"medio"
"agradecido","thankful","joy",0.938,-0.312,0.428,"medio"
"agravación","aggravation","anger",-0.858,0.568,0.226,"alto"
"agravación","aggravation","disgust",-0.858,0.568,0.226,"alto"
"agravado","aggravated","anger",-0.842,0.52,-0.14,"alto"
"agravante","aggravating","anger",-0.486,0.467,0.28,"alto"
"agravante","aggravating","sadness",-0.486,0.467,0.28,"alto"
"agresión","assault","anger",-0.666,0.696,0.1,"alto"
"agresión","aggression","anger",-0.812,0.858,0.066,"alto"
"agresión","aggression","fear",-0.812,0.858,0.066,"alto"
"agresión","assault","fear",-0.666,0.696,0.1,"alto"
"agresivo","aggressive","anger",-0.75,0.898,0.296,"alto"
"agresivo","aggressive","fear",-0.75,0.898,0.296,"alto"
"agresor","attacking","anger",-0.448,0.674,0.284,"alto"
"agresor","assailant","anger",-0.632,0.736,0.204,"alto"
"agresor","aggressor","anger",-0.708,0.896,0.646,"alto"
"agresor","attacking","disgust",-0.448,0.674,0.284,"alto"
"agresor","assailant","fear",-0.632,0.736,0.204,"alto"
"agresor","aggressor","fear",-0.708,0.896,0.646,"alto"
"agresor","attacking","fear",-0.448,0.674,0.284,"alto"
"agresor","assailant","sadness",-0.632,0.736,0.204,"alto"
"agresor","attacking","sadness",-0.448,0.674,0.284,"alto"
"agresor","attacking","surprise",-0.448,0.674,0.284,"alto"
"agricultura","husbandry","trust",0.453,-0.054,-0.11,"medio"
"agrietado","cracked","anger",-0.552,0.04,-0.544,"medio"
"agrietado","cracked","fear",-0.552,0.04,-0.544,"medio"
"agrio","sour","disgust",-0.557,0.188,-0.273,"medio"
"agua sucia","slop","disgust",-0.388,-0.182,-0.35,"medio"
"aguante","stamina","trust",0.328,0.388,0.754,"alto"
"aguas residuales","sewage","disgust",-0.49,-0.314,-0.322,"medio"
"agudísimo","excruciating","fear",-0.917,0.837,-0.417,"alto"
"águila","eagle","trust",0.208,0.188,0.358,"medio"
"ahogar","smother","anger",-0.416,0.37,-0.16,"alto"
"ahogar","drown","fear",-0.858,0.72,-0.46,"alto"
"ahogar","drown","sadness",-0.858,0.72,-0.46,"alto"
"ahogo","choke","anger",-0.666,0.576,0.352,"alto"
"ahogo","choke","sadness",-0.666,0.576,0.352,"alto"
"ahorrar","save","joy",0.54,-0.122,0.364,"medio"
"ahorrar","save","trust",0.54,-0.122,0.364,"medio"
"ahorro","thrift","disgust",0.52,-0.566,0.298,"bajo"
"ahorro","thrift","trust",0.52,-0.566,0.298,"bajo"
"airado","irate","anger",-0.624,0.704,-0.052,"alto"
"aires","airs","disgust",0.166,-0.608,-0.26,"bajo"
"aislado","isolated","fear",-0.558,-0.288,-0.49,"medio"
"aislado","secluded","sadness",-0.286,-0.47,-0.52,"bajo"
"aislado","isolated","sadness",-0.558,-0.288,-0.49,"medio"
"aislamiento","isolation","sadness",-0.604,-0.324,-0.322,"medio"
"aislamiento","insulation","trust",-0.51,-0.346,-0.472,"bajo"
"aislar","isolate","sadness",-0.53,-0.156,-0.328,"medio"
"al azar","randomly","surprise",-0.18,0.188,-0.396,"medio"
"alabado","praised","joy",0.9,-0.118,0.442,"medio"
"alarma","alarm","fear",-0.518,0.764,0.396,"alto"
"alarma","alarm","surprise",-0.518,0.764,0.396,"alto"
"alarmante","alarming","fear",-0.592,0.78,0.17,"alto"
"alarmante","startling","surprise",0.5,0.536,0.66,"alto"
"alarmante","alarming","surprise",-0.592,0.78,0.17,"alto"
"alba","alb","trust",0.042,-0.24,-0.146,"medio"
"alborada","morn","anticipation",0.084,-0.432,-0.31,"bajo"
"alboroto","rampage","anger",-0.52,0.75,0.018,"alto"
"alboroto","rampage","fear",-0.52,0.75,0.018,"alto"
"alcantarillado","sewerage","disgust",-0.584,-0.1,-0.604,"medio"
"alcantarillado","sewer","disgust",-0.428,-0.266,-0.436,"medio"
"alcanzable","attainable","anticipation",0.52,0,0.518,"medio"
"alcoholismo","alcoholism","anger",-0.878,0.558,-0.186,"alto"
"alcoholismo","alcoholism","disgust",-0.878,0.558,-0.186,"alto"
"alcoholismo","alcoholism","fear",-0.878,0.558,-0.186,"alto"
"alcoholismo","alcoholism","sadness",-0.878,0.558,-0.186,"alto"
"aldeano","villager","trust",0.42,-0.226,0.018,"medio"
"alegación","allegation","anger",0.156,0.156,0.216,"medio"
"alegrarse","rejoice","anticipation",0.654,0.3,0.396,"medio"
"alegrarse","rejoice","joy",0.654,0.3,0.396,"medio"
"alegrarse","rejoice","surprise",0.654,0.3,0.396,"medio"
"alegrarse","rejoice","trust",0.654,0.3,0.396,"medio"
"alegre","cheery","anticipation",0.927,0.314,-0.028,"medio"
"alegre","cheery","joy",0.927,0.314,-0.028,"medio"
"alegre","merry","joy",0.958,0.462,0.528,"alto"
"alegre","rollicking","joy",0.756,0.612,0.104,"alto"
"alegre","cheerful","joy",0.99,0.228,0.25,"medio"
"alegre","joyful","joy",0.99,0.24,0.296,"medio"
"alegre","cheerful","surprise",0.99,0.228,0.25,"medio"
"alegre","joyful","trust",0.99,0.24,0.296,"medio"
"alegría","rejoicing","anticipation",0.622,0.274,0.184,"medio"
"alegría","cheer","anticipation",0.876,0.568,0.69,"alto"
"alegría","cheerfulness","anticipation",0.938,0.604,0.35,"alto"
"alegría","cheer","joy",0.876,0.568,0.69,"alto"
"alegría","glee","joy",0.396,0.16,-0.072,"medio"
"alegría","gladness","joy",0.792,0.34,0.286,"alto"
"alegría","cheerfulness","joy",0.938,0.604,0.35,"alto"
"alegría","joy","joy",0.96,0.648,0.588,"alto"
"alegría","mirth","joy",0.776,0.28,0.216,"medio"
"alegría","rejoicing","joy",0.622,0.274,0.184,"medio"
"alegría","merriment","joy",0.948,0.721,0.298,"alto"
"alegría","cheer","surprise",0.876,0.568,0.69,"alto"
"alegría","merriment","surprise",0.948,0.721,0.298,"alto"
"alegría","rejoicing","surprise",0.622,0.274,0.184,"medio"
"alegría","cheerfulness","trust",0.938,0.604,0.35,"alto"
"alegría","cheer","trust",0.876,0.568,0.69,"alto"
"alejado","banished","anger",-0.896,0.426,-0.26,"alto"
"alejado","banished","fear",-0.896,0.426,-0.26,"alto"
"alejado","banished","sadness",-0.896,0.426,-0.26,"alto"
"alentar","encourage","joy",0.792,0.16,0.408,"medio"
"alentar","encourage","trust",0.792,0.16,0.408,"medio"
"alertas","alerts","anticipation",-0.326,0.608,0.346,"alto"
"alertas","alerts","fear",-0.326,0.608,0.346,"alto"
"alertas","alerts","surprise",-0.326,0.608,0.346,"alto"
"algarabía","gibberish","anger",-0.25,0.02,-0.28,"medio"
"alguacil","bailiff","fear",-0.306,0.038,0.518,"medio"
"alguacil","sheriff","trust",0.204,0.082,0.604,"medio"
"alguacil","constable","trust",0.146,0.334,0.528,"alto"
"alguacil","bailiff","trust",-0.306,0.038,0.518,"medio"
"aliado","ally","trust",0.584,-0.36,0.376,"bajo"
"aliado","allied","trust",0.428,-0.51,0.284,"bajo"
"Alianza","alliance","trust",0.392,-0.054,0.538,"medio"
"alienación","alienation","anger",-0.244,0.06,-0.255,"medio"
"alienación","alienation","disgust",-0.244,0.06,-0.255,"medio"
"alienación","alienation","fear",-0.244,0.06,-0.255,"medio"
"alienación","alienation","sadness",-0.244,0.06,-0.255,"medio"
"alienado","alienated","sadness",-0.18,-0.154,0.118,"medio"
"alimañas","vermin","anger",-0.666,0.424,-0.23,"alto"
"alimañas","vermin","disgust",-0.666,0.424,-0.23,"alto"
"alimañas","vermin","fear",-0.666,0.424,-0.23,"alto"
"alimento","food","joy",0.776,-0.352,0.054,"bajo"
"alimento","food","trust",0.776,-0.352,0.054,"bajo"
"alma en pena","banshee","anger",-0.184,0.13,-0.038,"medio"
"alma en pena","banshee","disgust",-0.184,0.13,-0.038,"medio"
"alma en pena","banshee","fear",-0.184,0.13,-0.038,"medio"
"alma en pena","banshee","sadness",-0.184,0.13,-0.038,"medio"
"alma gemela","soulmate","fear",0.78,0,0.256,"medio"
"almirante","admiral","trust",0.688,-0.02,0.694,"medio"
"aloha","aloha","anticipation",0.396,-0.12,-0.118,"medio"
"aloha","aloha","joy",0.396,-0.12,-0.118,"medio"
"alojamiento","lodging","trust",0.426,-0.428,0.054,"bajo"
"alta burguesía","gentry","trust",0.12,-0.04,0.25,"medio"
"altercado","altercation","anger",-0.66,0.612,0,"alto"
"alucinación","hallucination","fear",-0.208,0.412,-0.26,"alto"
"amabilidad","friendliness","joy",0.899,-0.286,0.111,"medio"
"amabilidad","friendliness","trust",0.899,-0.286,0.111,"medio"
"amable","lovable","joy",0.948,-0.284,-0.054,"medio"
"amable","lovable","trust",0.948,-0.284,-0.054,"medio"
"amanecer","dawn","anticipation",0.654,-0.53,0.038,"bajo"
"amanecer","dawn","joy",0.654,-0.53,0.038,"bajo"
"amanecer","dawn","surprise",0.654,-0.53,0.038,"bajo"
"amanecer","dawn","trust",0.654,-0.53,0.038,"bajo"
"amante","mistress","anger",0.26,0.592,0.388,"alto"
"amante","lover","anticipation",0.666,0.649,0.393,"alto"
"amante","mistress","disgust",0.26,0.592,0.388,"alto"
"amante","lover","joy",0.666,0.649,0.393,"alto"
"amante","lover","trust",0.666,0.649,0.393,"alto"
"amargamente","bitterly","anger",-0.612,0.37,-0.276,"alto"
"amargamente","bitterly","disgust",-0.612,0.37,-0.276,"alto"
"amargamente","bitterly","sadness",-0.612,0.37,-0.276,"alto"
"amargura","bitterness","anger",-0.77,0.266,-0.46,"medio"
"amargura","bitterness","disgust",-0.77,0.266,-0.46,"medio"
"amargura","bitterness","sadness",-0.77,0.266,-0.46,"medio"
"amarras","moorings","trust",-0.188,0,0.032,"medio"
"ambición","ambition","anticipation",0.02,0.608,0.322,"alto"
"ambición","ambition","joy",0.02,0.608,0.322,"alto"
"ambición","ambition","trust",0.02,0.608,0.322,"alto"
"ambicioso","aspiring","anticipation",0.688,0.164,0.208,"medio"
"ambicioso","aspiring","joy",0.688,0.164,0.208,"medio"
"ambicioso","aspiring","trust",0.688,0.164,0.208,"medio"
"ambulancia","ambulance","fear",0,0.5,0.218,"alto"
"ambulancia","ambulance","trust",0,0.5,0.218,"alto"
"amén","amen","joy",0.562,-0.636,0.084,"bajo"
"amén","amen","trust",0.562,-0.636,0.084,"bajo"
